Date,Open,High ,Low,Close/Last,Volume
1/11/2019,152.88,153.7,151.51,152.29,"26,924,630"
1/10/2019,152.5,153.97,150.86,153.8,"35,661,200"
1/9/2019,151.29,154.53,149.63,153.31,"45,034,370"
1/8/2019,149.56,151.82,148.52,150.75,"40,622,910"
1/7/2019,148.7,148.83,145.9,147.93,"54,571,440"
1/4/2019,144.53,148.5499,143.8,148.26,"57,423,650"
1/3/2019,143.98,145.72,142,142.19,"91,106,840"
1/2/2019,154.89,158.85,154.23,157.92,"35,637,070"
12/31/2018,158.53,159.36,156.48,157.74,"34,499,390"
12/28/2018,157.5,158.52,154.55,156.23,"41,740,600"
12/27/2018,155.84,156.77,150.07,156.15,"51,608,850"
12/26/2018,148.3,157.23,146.72,157.17,"58,133,850"
12/24/2018,148.15,151.55,146.59,146.83,"37,169,230"
12/21/2018,156.86,158.16,149.63,150.73,"95,497,900"
12/20/2018,160.4,162.11,155.3,156.83,"64,398,230"
12/19/2018,166,167.45,159.09,160.89,"47,597,670"
12/18/2018,165.38,167.53,164.39,166.07,"33,753,490"
12/17/2018,165.45,168.35,162.73,163.94,"43,250,420"
12/14/2018,169,169.08,165.28,165.48,"40,620,360"
12/13/2018,170.49,172.57,169.55,170.95,"31,754,210"
12/12/2018,170.4,171.92,169.02,169.1,"35,474,680"
12/11/2018,171.66,171.79,167,168.63,"45,968,040"
12/10/2018,165,170.09,163.33,169.6,"61,759,000"
12/7/2018,173.49,174.49,168.3,168.49,"41,678,680"
12/6/2018,171.76,174.78,170.42,174.72,"42,704,910"
12/4/2018,180.95,182.3899,176.27,176.69,"41,141,250"
12/3/2018,184.46,184.94,181.21,184.82,"40,537,700"
11/30/2018,180.29,180.33,177.03,178.58,"39,424,260"
11/29/2018,182.66,182.8,177.7,179.55,"41,523,580"
11/28/2018,176.73,181.29,174.93,180.94,"45,941,750"
11/27/2018,171.51,174.77,170.88,174.24,"41,156,140"
11/26/2018,174.24,174.95,170.26,174.62,"44,662,320"
11/23/2018,174.94,176.595,172.1,172.29,"23,623,970"
11/21/2018,179.73,180.27,176.55,176.78,"31,096,240"
11/20/2018,178.37,181.47,175.51,176.98,"67,678,680"
11/19/2018,190,190.7,184.99,185.86,"41,626,820"
11/16/2018,190.5,194.9695,189.46,193.53,"36,191,330"
11/15/2018,188.39,191.97,186.9,191.41,"46,271,660"
11/14/2018,193.9,194.48,185.93,186.8,"60,547,340"
11/13/2018,191.63,197.18,191.4501,192.23,"46,725,710"
11/12/2018,199,199.85,193.79,194.17,"50,991,030"
11/9/2018,205.55,206.01,202.25,204.47,"34,317,760"
11/8/2018,209.98,210.12,206.75,208.49,"25,289,270"
11/7/2018,205.97,210.06,204.13,209.95,"33,291,640"
11/6/2018,201.92,204.72,201.69,203.77,"31,774,720"
11/5/2018,204.3,204.39,198.17,201.59,"66,072,170"
11/2/2018,209.55,213.65,205.43,207.48,"91,046,560"
11/1/2018,219.05,222.36,216.81,222.22,"52,954,070"
10/31/2018,216.88,220.45,216.62,218.86,"38,016,810"
10/30/2018,211.15,215.18,209.27,213.3,"36,487,930"
10/29/2018,219.19,219.69,206.09,212.24,"45,713,690"
10/26/2018,215.9,220.19,212.67,216.3,"47,191,700"
10/25/2018,217.71,221.38,216.75,219.8,"29,027,340"
10/24/2018,222.6,224.23,214.54,215.09,"39,992,120"
10/23/2018,215.83,223.25,214.7,222.73,"38,681,170"
10/22/2018,219.79,223.36,218.94,220.65,"28,751,540"
10/19/2018,218.06,221.26,217.43,219.31,"32,874,330"
10/18/2018,217.86,219.74,213,216.02,"32,389,280"
10/17/2018,222.3,222.64,219.34,221.19,"22,692,880"
10/16/2018,218.93,222.99,216.7627,222.15,"28,802,550"
10/15/2018,221.16,221.83,217.27,217.36,"30,280,450"
10/12/2018,220.42,222.88,216.84,222.11,"39,494,770"
10/11/2018,214.52,219.5,212.32,214.45,"52,902,320"
