Ticker,Company Name,1979-03-31 00:00:00,1979-06-30 00:00:00,1979-09-30 00:00:00,1979-12-31 00:00:00,1980-03-31 00:00:00,1980-06-30 00:00:00,1980-09-30 00:00:00,1980-12-31 00:00:00,1981-03-31 00:00:00,1981-06-30 00:00:00,1981-09-30 00:00:00,1981-12-31 00:00:00,1982-03-31 00:00:00,1982-06-30 00:00:00,1982-09-30 00:00:00,1982-12-31 00:00:00,1983-03-31 00:00:00,1983-06-30 00:00:00,1983-09-30 00:00:00,1983-12-31 00:00:00,1984-03-31 00:00:00,1984-06-30 00:00:00,1984-09-30 00:00:00,1984-12-31 00:00:00,1985-03-31 00:00:00,1985-06-30 00:00:00,1985-09-30 00:00:00,1985-12-31 00:00:00,1986-03-31 00:00:00,1986-06-30 00:00:00,1986-09-30 00:00:00,1986-12-31 00:00:00,1987-03-31 00:00:00,1987-06-30 00:00:00,1987-09-30 00:00:00,1987-12-31 00:00:00,1988-03-31 00:00:00,1988-06-30 00:00:00,1988-09-30 00:00:00,1988-12-31 00:00:00,1989-03-31 00:00:00,1989-06-30 00:00:00,1989-09-30 00:00:00,1989-12-31 00:00:00,1990-03-31 00:00:00,1990-06-30 00:00:00,1990-09-30 00:00:00,1990-12-31 00:00:00,1991-03-31 00:00:00,1991-06-30 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-31 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-30 00:00:00,1995-12-31 00:00:00,1996-03-31 00:00:00,1996-06-30 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-30 00:00:00,2000-12-31 00:00:00,2001-03-31 00:00:00,2001-06-30 00:00:00,2001-09-30 00:00:00,2001-12-31 00:00:00,2002-03-31 00:00:00,2002-06-30 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-01-31 00:00:00,2005-02-28 00:00:00,2005-03-31 00:00:00,2005-04-30 00:00:00,2005-05-31 00:00:00,2005-06-30 00:00:00,2005-07-31 00:00:00,2005-08-31 00:00:00,2005-09-30 00:00:00,2005-10-31 00:00:00,2005-11-30 00:00:00,2005-12-31 00:00:00,2006-01-31 00:00:00,2006-02-28 00:00:00,2006-03-31 00:00:00,2006-04-30 00:00:00,2006-05-31 00:00:00,2006-06-30 00:00:00,2006-07-31 00:00:00,2006-08-31 00:00:00,2006-09-30 00:00:00,2006-10-31 00:00:00,2006-11-30 00:00:00,2006-12-31 00:00:00,2007-01-31 00:00:00,2007-02-28 00:00:00,2007-03-31 00:00:00,2007-04-30 00:00:00,2007-05-31 00:00:00,2007-06-30 00:00:00,2007-07-31 00:00:00,2007-08-31 00:00:00,2007-09-30 00:00:00,2007-10-31 00:00:00,2007-11-30 00:00:00,2007-12-31 00:00:00,2008-01-31 00:00:00,2008-02-29 00:00:00,2008-03-31 00:00:00,2008-04-30 00:00:00,2008-05-31 00:00:00,2008-06-30 00:00:00,2008-07-31 00:00:00,2008-08-31 00:00:00,2008-09-30 00:00:00,2008-10-31 00:00:00,2008-11-30 00:00:00,2008-12-31 00:00:00,2009-01-31 00:00:00,2009-02-28 00:00:00,2009-03-31 00:00:00,2009-04-30 00:00:00,2009-05-31 00:00:00,2009-06-30 00:00:00,2009-07-31 00:00:00,2009-08-31 00:00:00,2009-09-30 00:00:00,2009-10-31 00:00:00,2009-11-30 00:00:00,2009-12-31 00:00:00,2010-01-31 00:00:00,2010-02-28 00:00:00,2010-03-31 00:00:00,2010-04-30 00:00:00,2010-05-31 00:00:00,2010-06-30 00:00:00,2010-07-31 00:00:00,2010-08-31 00:00:00,2010-09-30 00:00:00,2010-10-31 00:00:00,2010-11-30 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-04-30 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-07-31 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,2011-12-31 00:00:00,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-03-31 00:00:00,2012-04-30 00:00:00,2012-05-31 00:00:00,2012-06-30 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-09-30 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-03-31 00:00:00,2013-04-30 00:00:00,2013-05-31 00:00:00,2013-06-30 00:00:00,2013-07-31 00:00:00,2013-08-31 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-11-30 00:00:00,2013-12-31 00:00:00,2014-01-31 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-05-31 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-08-31 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-11-30 00:00:00,2014-12-31 00:00:00,2015-01-31 00:00:00,2015-02-28 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-31 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-10-31 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2016-01-31 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-04-30 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-07-31 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-12-31 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-30 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-30 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-31 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-30 00:00:00
A,Agilent Technologies Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28128.25,22170.554099999998,24802.57125,14036.542099999999,14854.8725,9005.45335,13143.11,16222.87336,10979.465199999999,6095.18036,8387.32,6196.84545,9213.993199999999,10513.48188,13922.596759999999,15206.24902,14096.88528,10474.52142,11732.868100000002,10858.17678,11784.0,10903.8408,10191.653,11788.910000000002,11311.03814,12893.20768,15887.039999999999,16184.3295,15818.63778,18293.579999999998,17077.77,14539.251599999998,15480.0,16267.44855,16644.35082,15115.08069,13438.78452,12110.235480000001,13694.27472,13359.716509999998,14548.972399999999,13012.33936,14187.81835,13003.264,12901.676,13599.10326,13873.587979999998,15407.47318,15220.62552,15105.797700000001,14412.8712,14255.89024,14244.293800000001,14623.11084,13647.771060000001,12550.00584,11345.412839999999,10889.20286,11027.918819999999,13648.92038,12798.23832,12985.494480000001,12517.35408,10604.66606,7933.834790000001,6732.4970299999995,5501.46303,6364.087679999999,4882.18452,5306.584719999999,6304.37456,6294.016879999999,6973.519739999999,7972.67988,8817.33072,9604.46696,8538.07088,9980.639040000002,10838.179170000001,9779.44276,10976.14232,11972.740940000002,12623.77396,11266.00456,9895.43109,9721.399589999999,9387.259109999999,11558.366899999999,12053.676,12129.877400000001,14401.23372,14571.39684,14658.48384,15454.563160000002,17225.03902,17211.23414,17788.57995,14673.5772,12832.41915,10850.4375,12871.22298,13020.525,12160.00625,14784.86875,15151.494239999998,15472.78875,14662.8225,14134.432499999999,13635.93924,13305.813289999998,12913.137159999998,13397.63335,12540.46357,13341.882469999999,14244.4589,15580.5293,14392.23264,14570.263229999999,14386.26896,15778.37655,14729.793759999999,15408.411479999999,16066.36064,16953.09,16791.00192,17720.527439999998,18976.15671,19294.69335,18975.85067,18644.90232,18018.07084,18984.991739999998,19142.51184,18692.609490000003,19049.19876,19003.57074,18436.59864,14254.34562,13728.08268,12687.018540000001,14182.56,13952.905499999999,13892.4597,13832.0139,12854.54736,13644.2124,12098.20152,11377.06499,12513.77728,13859.27346,13888.069510000001,12340.502849999999,12242.17215,13061.6345,13412.348399999999,15041.3653,14440.15592,15660.86342,15293.023559999998,15275.28965,14133.45445,14266.452299999999,14658.838880000001,15755.999559999998,16505.6724,17024.14,17726.1,19429.48,19038.510000000002,19252.38,20839.84,20672.4,21905.66,22295.28,21564.34,23715.173090000004,22152.032170000002,21606.224700000002,21165.84762,19935.94896,19910.19192,21066.760000000002,21545.260000000002,22502.260000000002
AA,Alcoa Inc,1909.11866,1804.77388,2070.04416,1930.1296000000002,2060.1277499999997,2092.7337500000003,2600.14,2178.46279,2568.965,2214.828,1954.49625,1908.35854,1877.17545,1733.93675,2051.322,2446.6749999999997,2538.97686,2928.365,3609.84825,3632.54232,3282.8085,2756.21,2675.871,3002.217,2781.47675,2782.196,2681.844,3132.822,3465.7940200000003,3312.62001,3217.594,2949.254,3723.5599800000005,4676.51504,5429.41811,4120.40475,3834.8295,4696.49025,4654.29075,4943.7919999999995,5293.392000000001,5681.918,6792.528499999999,6566.1,5661.41625,5506.916249999999,5319.7922,4889.44446,5560.8189999999995,5737.905,5434.71876,5477.579159999999,6010.9710000000005,6498.66672,5675.505,6140.8399,5687.610000000001,6173.44,5929.995679999999,6130.48618,6362.31986,6505.937319999999,7571.226,7740.910279999999,7395.217000000001,8947.95435,9370.864800000001,9323.48432,11006.157790000001,9991.63678,10230.777,10997.512499999999,11806.84,13110.617259999999,14142.622,11843.26488,11587.05352,11103.768479999999,13013.874000000002,13687.12832,15110.34555,22868.55844,22755.291960000002,30411.781,25956.391499999998,25056.928,21918.48531,28976.1935,31144.887050000005,34044.0034,26596.253670000002,30195.56565,31987.933380000002,28066.34805,16297.441100000002,19232.4706,16374.646499999999,21553.798499999997,22133.55744,32883.49,30175.998439999996,28716.64533,29217.791240000002,27350.450180000003,25687.835290000003,27993.2224,26485.4928,25309.47378,23634.966900000003,22788.99207,24471.2127,23371.97106,21304.34988,21137.473769999997,23852.53833,25732.19841,27413.4735,25561.762400000003,26642.8192,29392.01178,27599.60372,28156.46836,25963.2956,24784.32792,24307.53952,25067.861,27027.507,26021.671000000002,28028.001999999997,29051.23117,29477.3043,30840.419610000004,35893.95072,35241.807720000004,33770.0988,32293.762020000002,34583.410079999994,33578.17932,30847.14276,30999.8094,27378.732180000003,30245.73894,29366.21826,28348.58674,33084.21897,29033.256459999997,27452.08125,26134.381350000003,18366.459099999996,9203.6455,8611.41092,9011.56942,6234.46943,4995.05825,6975.32678,8836.68332,8982.82472,10064.27108,11458.61472,11741.1826,12783.760639999999,12101.77476,12199.21256,15706.973360000002,12403.84467,13569.6841,14528.744480000001,13712.2986,11884.6728,10271.4612,11406.96038,10436.80708,12366.90154,13421.74788,13411.53346,15719.992380000002,16934.97082,17906.309650000003,18767.087740000003,18083.155,17845.142989999997,16836.642939999998,15675.41559,13621.5424,10184.231310000001,11451.91104,10664.32608,9206.2296,10814.42592,10842.31836,10682.28192,10379.020190000001,9120.310650000001,9333.651249999999,9036.575240000002,9132.59552,9452.66312,9145.92114,8975.16882,9263.31336,9434.15408,9110.657519999999,9110.657519999999,9089.8745,9089.8745,8362.68454,8502.93045,8235.5427,8684.754119999998,9915.21054,10278.87522,11369.869260000001,12327.33661,12652.03364,13873.80852,15790.665480000001,15954.785240000001,17469.43937,19279.933970000002,19538.72503,18948.24369,19757.073480000003,20381.84967,18613.61517,19034.3438,18077.04792,15791.80592,16404.36644,15279.775000000001,13629.5593,12927.745739999998,12377.628899999998,12652.687319999999,11699.451969999998,12262.807439999999,12930.973229999998,9551.066400000002,11741.574779999999,12596.22468,14687.14258,12191.041889999999,12191.041889999999,13966.80804,13259.030400000001,13337.953200000002,3912.8,,,,,,,,,,,,,,,,,,,,,,,
AAL,American Airlines Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36769.187,33455.26371,29353.89363,27670.39206,26940.022100000002,26187.58258,26086.80943,29133.66772,26007.25076,26694.3061,24576.410740000003,24723.738,24729.76818,20056.78668,18449.468520000002,16368.04932,18811.911500000002,19235.8419,19400.11493,21035.875,24061.725,24191.25625,22927.03125,24020.275,20970.225,21128.864999999998,23999.2575,24539.146808,24597.666235999997,21817.993406,22795.2,22473.6,24235.2,24740.681239999998,25829.594559999998,25796.308999999997,24285.5844,20065.0527,20350.1606,17480.65592,18208.24908,18641.12096,19032.54766
AAL (Alex),Alexander & Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.4,1032.889,994.95,1181.076,1237.452,1083.375,989.828,725.928,939.078,1071.0,917.9999999999999,853.992,836.4,826.1999999999999,877.1999999999999,1073.625,1147.4499999999998,1017.225,1135.593,896.1,848.25,766.905,706.875,856.05,817.7,1046.809,1057.8839999999998,1076.7,846.279,814.93632,889.5597499999999,721.01028,753.52728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,Advance Auto Parts Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12748.33938,12831.27925,13876.818009999999,14528.44931,11917.857009999998,11022.900869999998,11135.68585,10882.73016,11756.449480000001,11479.1257,11314.00896,11888.85628,12494.222160000001,11589.4632,10981.1968,10315.4912,12500.55688,12456.36448,12096.93296,11534.952940000001,10934.02674,10482.682859999999,9855.07887,8598.39591,8260.62549,7220.0271,7328.5984,6038.705979999999,7461.576999999999,7370.679840000001,8649.772640000001,8447.188,8773.52985,8470.10115,9518.780340000001,10042.7499,10452.00861,12139.36821,12457.598310000001
AAPL,Apple Inc.,,,,,,,,,,,,,,,,1722.52224,2462.96375,2954.3560800000005,1369.24974,1448.4157999999998,1481.21325,1593.1005,1521.24455,1768.8901199999998,1361.37121,1109.1599999999999,974.1375,1370.358,1791.36075,2293.55724,2098.038,2541.4155,4129.161,5090.1615,7123.972,5215.476,4955.280000000001,5669.83375,5309.716,4958.35725,4426.06549,5179.845,5619.014999999999,4413.3705,4961.6175,5355.143,3345.411,4915.5019999999995,8089.008,4875.835,5860.107,6680.4662,6999.553,5692.128,5346.95727,7040.99975,6004.6425,4566.753000000001,2715.51686,3407.47875,3928.155,3135.8245,4027.40367,4675.71,4268.52825,5661.2681999999995,4578.8445,3925.00184,3037.7036,2599.485,2762.5884300000002,2601.3347999999996,2307.25625,1803.46575,2775.21381,1680.88947,3657.2525000000005,3816.94629,5133.785070000001,5540.0008,4902.82698,7364.07727,10185.3128,16540.072799999998,22041.41976,17049.06144,8367.95175,4997.9241600000005,7637.74283,8114.784750000001,5441.09412,7702.7337,8376.22125,6303.003999999999,5203.847000000001,5146.41888,5097.667960000001,6967.2877,7511.0207199999995,7746.6463699999995,10018.860799999999,12366.566679999998,15032.09375,25892.535200000002,31109.8181,36658.33592,34263.94923,29682.32022,32759.61584,30329.01054,35313.38965,38910.681809999995,44487.13269,48088.744210000004,56630.98858,60586.59152,63852.53967,58121.43587999999,53417.30688,59774.34332,50834.86316000001,48708.593160000004,57969.06448,57875.2358,65663.01624000001,69160.26704,78184.88008,72900.80616000001,73746.6606,72923.24375,80076.80625,86296.3614,104823.04811999999,105558.25392,114520.78512,120427.88567999999,133463.80427,165698.89354999998,159540.8988,173426.9632,118953.6912,109877.07751999999,126118.70599999999,153324.92244999998,166406.34125,147618.95512,140809.9902,150182.55828,100688.66616,95574.99434,82377.60644999999,75870.60225,80265.63201999999,79535.37774,93615.03648,112254.2013,121157.45910000001,127063.22730000001,146367.53962999998,150685.37757,166039.68095,169777.80299999999,180054.53897999998,190784.19477,174159.0477,185548.3929,213096.82499999998,237575.71241999997,233744.87344,228876.70514,235014.08174999998,222087.1653,259223.50125,276091.06086,285420.07305,295886.54592,312608.05096,325404.60238,321074.59578,323784.46815,321657.53164999996,310412.51085,362010.49368,356772.42952999996,353518.34012,376206.17501999997,355220.1198,376410.645,425608.2576,505754.78280000004,559002.4334999999,546057.50676,540213.3692600001,546076.208,572530.08856,623599.9674399999,625352.91666,559129.30656,550568.21376,499611.3072299999,427731.52842,414500.20119999995,415683.41428,415615.00422,422148.00126,372202.48796999996,411122.14741,442637.90834,433125.94474999997,470293.05260000005,500317.3096600001,500738.96202000004,446529.69340000005,469400.29136000003,479069.43396,508292.31429,545254.173,560336.9543100001,572440.0852,613756.3675,603277.60025,633402.72,697505.4212000001,647361.0392,682427.4756799999,748247.1280799999,724773.39364,720992.9045,750546.9884,722605.9929,691740.1786,643038.93272,629010.2366,666252.0545,659561.6573,586859.34106,539709.70922,536105.73027,604304.1011699999,513453.8195,546975.6605,523641.82999999996,561529.64503,571713.8023,609163.48115,605430.81802,589327.23276,617588.4916599999,647076.18255,730473.55787,753717.9364,748968.116,796466.1984,744552.0036400001,768901.67686,847844.248,790050.09812,866533.01704,880937.64185,859967.7987299999,850820.82693,905143.67612,829383.85396,816926.7833199999,923751.1073400001,896472.3658700001,921558.67593,1102393.19671,1093240.08358
ABBV,AbbVie Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57994.7823,58358.33640000001,64554.16908000001,72896.5053,67609.39100999999,65471.35686000001,72027.99492,67555.12969,70916.23917,76814.03505,77077.2639,84013.42222000001,78318.13626,80871.50228999999,82036.97,83122.284,86388.28578,89743.32504,83224.05444,87989.12072,91936.53424,101009.21854,110253.93800000001,104263.2616,96153.54275000001,96430.1635,93204.22684,102948.16036,106082.93084,107038.77644,111531.25076000001,103305.77516,90063.56715999999,98571.6858,95060.53805,96842.41228,89747.6103,87989.70718,92405.0232,98681.83499999999,101780.40187,104000.07069,111257.06157,104389.54219999998,102712.14394,90840.07276,98806.0192,101763.69937999999,99309.79989,100496.12216,103693.40856,104934.67404,105061.98332,115560.70245900001,111417.028119,120007.18377,141831.48978,144050.10075,154696.24116,153974.98901,178668.94082000002,184416.53373,150187.7805,153202.6435,156995.0238,140283.9592,139648.02544,145326.00544,143206.22624
ABC,AmerisourceBergen Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7307.9919,6545.84065,7098.282399999999,7970.879999999999,7563.163740000001,5808.128640000001,5786.4974999999995,7655.338449999999,6048.195,6296.49255,6137.2832,6713.592900000001,6039.044980000001,6168.26556,6589.020240000001,6655.1895,6365.20545,6808.5144,6728.7105599999995,7205.983200000001,7481.092320000001,7750.52199,8023.508099999999,7916.5971899999995,8380.505,8636.2884,9110.33004,9612.78381,10089.34713,9019.16985,9149.541000000001,8799.008,9025.7,8901.066239999998,9110.6928,9513.8208,9269.92836,8636.32144,10069.21692,9965.8064,9994.226,9471.30536,9787.22004,9452.82654,9001.873019999999,8621.37375,8167.3327500000005,8488.04425,7620.3905700000005,7536.41007,7592.1673599999995,6783.92232,6663.593879999999,6593.6732999999995,6654.70862,6438.949860000001,6741.65618,6498.485610000001,5966.05665,4955.075470000001,4890.6,5562.959999999999,5597.5657599999995,4836.34928,4973.399479999999,5122.63192,5594.68,5350.384,5947.552,6334.54667,6652.61166,6584.24255,7112.81865,7427.13444,7766.646600000001,7918.019319999999,8166.51636,8711.51555,8837.2256,8970.01,8467.124399999999,7606.67336,8492.82,9093.91,8525.3358,9394.157239999999,9873.22622,10390.94145,10843.198200000003,11139.220800000001,11292.754860000001,11342.0682,10495.522530000002,10657.19206,10035.208390000002,10985.685599999999,9597.44245,9607.77617,10105.85628,9635.25658,10225.69644,9594.00314,9357.10137,9954.09405,10042.6311,9693.05724,9740.86827,9924.56328,9941.79672,10167.85368,10468.99139,10864.1656,11917.6722,12536.140319999999,12487.45056,12891.53781,13454.950890000002,13142.99876,14108.1733,15084.892989999998,16224.15696,16279.788330000001,15566.67316,15551.287849999999,15033.293590000001,14939.32118,16526.971200000004,16409.5344,17369.3544,17364.92298,17344.7286,19164.46662,19911.9066,19717.27072,20927.728799999997,22566.6098,24962.50035,25100.851499999997,24727.856160000003,23361.40924,23231.7945,21628.84808,20537.02798,20865.655020000002,20283.63912,21326.19843,18504.79764,17797.11844,19510.53375,19183.6675,16184.8079,17121.618599999998,18388.687449999998,19137.7485,17775.639000000003,15477.431999999999,17165.599,17209.619,19210.328,20141.351000000002,19320.8775,17912.74575,20034.76755,20705.454174,20549.938756,17577.62295,18039.0035,16774.638300000002,18490.25108,20062.76182,21777.99467,20792.55516,18944.13024,19904.411519999998,18049.77216,18494.721919999996,17748.59968,19514.13312,20002.14912
ABC (Bro.),American Broadcasting Cos Inc,950.0569200000001,1142.9156,1276.01456,1092.83775,895.936,815.87304,958.8340000000001,758.25792,913.95788,861.1370000000001,860.63332,978.6220000000001,963.8955,1111.8686,1373.87786,1675.41936,1833.8072499999998,1847.034,1723.3137499999998,1631.6279,1706.3865,1814.3535000000002,2022.2188599999997,1835.06284,3080.784,3259.3925,3271.83225,3435.069,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI,Applied Biosystems Inc.,637.5115000000001,579.1135,589.62,825.468,772.4399999999999,934.8,1199.55925,1456.2335,1257.18,1126.43328,977.3159999999999,1147.7160000000001,860.787,754.517,1011.4348899999999,1214.74914,1155.8139999999999,1490.469,1498.71714,1273.56424,1204.50222,913.93375,1024.1625,1153.2475499999998,1103.75144,1132.1745,1100.16225,1375.17904,1385.33856,1228.70488,1139.4351000000001,1145.8425,1568.7736300000001,1434.4205,1542.761,1042.824,1135.524,1151.54,1023.2262599999999,1058.32647,934.3078499999999,1063.1775,1162.7155,983.7939899999999,800.1710400000001,801.8399,677.1255,710.43602,908.5565699999999,956.061,900.4585,1025.35538,1097.82225,1303.68,1111.77654,1159.0185600000002,1592.79105,1450.152,1386.5985,1697.5805,1466.0496000000003,1266.9955,1332.99102,1072.74365,1219.4109299999998,1489.8518000000001,1506.0088400000002,1623.6274999999998,2361.2047300000004,2069.87675,2495.7277200000003,2568.52224,2819.5221,3485.04624,3209.45274,3449.32346,3551.93951,3054.83499,3392.94255,4858.87824,4833.97624,5853.05325,7370.5115,12400.83294,20012.749,13723.660439999998,24387.7605,19690.23822,5851.92,5648.02175,5151.840399999999,8322.53037,4751.0289,4139.3446699999995,3820.9119,3669.61356,3315.64099,3976.6229800000006,4639.78839,4308.23917,4081.4447600000003,4389.91125,3693.0477000000005,4098.88275,3930.3012500000004,4032.6387399999994,3875.5739399999993,4162.2172,4225.02799,3881.6581300000003,4108.5979800000005,4242.7885,4512.20868,4712.19039,5182.695699999999,4991.0224,5325.5111,5181.09944,4974.00208,5285.56448,5477.5096,5986.39985,5949.389649999999,5585.7786,6047.07796,6812.322799999999,6675.9902,6721.79145,6368.2058,5662.5792,5427.63264,5734.1644799999995,5250.7305,5648.373,5774.138999999999,5796.831459999999,6352.629599999999,6811.1046,5745.16544,5704.801280000001,5291.06864,5642.278670000001,5500.008220000001,5341.00007,5862.7606399999995,5654.470679999999,6237.14463,6185.27394,5805.5805,5227.904759999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
