Ticker,Company Name,1979-12-31 00:00:00,1980-03-31 00:00:00,1980-06-30 00:00:00,1980-09-30 00:00:00,1980-12-31 00:00:00,1981-03-31 00:00:00,1981-06-30 00:00:00,1981-09-30 00:00:00,1981-12-31 00:00:00,1982-03-31 00:00:00,1982-06-30 00:00:00,1982-09-30 00:00:00,1982-12-31 00:00:00,1983-03-31 00:00:00,1983-06-30 00:00:00,1983-09-30 00:00:00,1983-12-31 00:00:00,1984-03-31 00:00:00,1984-06-30 00:00:00,1984-09-30 00:00:00,1984-12-31 00:00:00,1985-03-31 00:00:00,1985-06-30 00:00:00,1985-09-30 00:00:00,1985-12-31 00:00:00,1986-03-31 00:00:00,1986-06-30 00:00:00,1986-09-30 00:00:00,1986-12-31 00:00:00,1987-03-31 00:00:00,1987-06-30 00:00:00,1987-09-30 00:00:00,1987-12-31 00:00:00,1988-03-31 00:00:00,1988-06-30 00:00:00,1988-09-30 00:00:00,1988-12-31 00:00:00,1989-03-31 00:00:00,1989-06-30 00:00:00,1989-09-30 00:00:00,1989-12-31 00:00:00,1990-03-31 00:00:00,1990-06-30 00:00:00,1990-09-30 00:00:00,1990-12-31 00:00:00,1991-03-31 00:00:00,1991-06-30 00:00:00,1991-09-30 00:00:00,1991-12-31 00:00:00,1992-03-31 00:00:00,1992-06-30 00:00:00,1992-09-30 00:00:00,1992-12-31 00:00:00,1993-03-31 00:00:00,1993-06-30 00:00:00,1993-09-30 00:00:00,1993-12-31 00:00:00,1994-03-31 00:00:00,1994-06-30 00:00:00,1994-09-30 00:00:00,1994-12-31 00:00:00,1995-03-31 00:00:00,1995-06-30 00:00:00,1995-09-30 00:00:00,1995-12-31 00:00:00,1996-03-31 00:00:00,1996-06-30 00:00:00,1996-09-30 00:00:00,1996-12-31 00:00:00,1997-03-31 00:00:00,1997-06-30 00:00:00,1997-09-30 00:00:00,1997-12-31 00:00:00,1998-03-31 00:00:00,1998-06-30 00:00:00,1998-09-30 00:00:00,1998-12-31 00:00:00,1999-03-31 00:00:00,1999-06-30 00:00:00,1999-09-30 00:00:00,1999-12-31 00:00:00,2000-03-31 00:00:00,2000-06-30 00:00:00,2000-09-30 00:00:00,2000-12-31 00:00:00,2001-03-31 00:00:00,2001-06-30 00:00:00,2001-09-30 00:00:00,2001-12-31 00:00:00,2002-03-31 00:00:00,2002-06-30 00:00:00,2002-09-30 00:00:00,2002-12-31 00:00:00,2003-03-31 00:00:00,2003-06-30 00:00:00,2003-09-30 00:00:00,2003-12-31 00:00:00,2004-03-31 00:00:00,2004-06-30 00:00:00,2004-09-30 00:00:00,2004-12-31 00:00:00,2005-01-31 00:00:00,2005-02-28 00:00:00,2005-03-31 00:00:00,2005-04-30 00:00:00,2005-05-31 00:00:00,2005-06-30 00:00:00,2005-07-31 00:00:00,2005-08-31 00:00:00,2005-09-30 00:00:00,2005-10-31 00:00:00,2005-11-30 00:00:00,2005-12-31 00:00:00,2006-01-31 00:00:00,2006-02-28 00:00:00,2006-03-31 00:00:00,2006-04-30 00:00:00,2006-05-31 00:00:00,2006-06-30 00:00:00,2006-07-31 00:00:00,2006-08-31 00:00:00,2006-09-30 00:00:00,2006-10-31 00:00:00,2006-11-30 00:00:00,2006-12-31 00:00:00,2007-01-31 00:00:00,2007-02-28 00:00:00,2007-03-31 00:00:00,2007-04-30 00:00:00,2007-05-31 00:00:00,2007-06-30 00:00:00,2007-07-31 00:00:00,2007-08-31 00:00:00,2007-09-30 00:00:00,2007-10-31 00:00:00,2007-11-30 00:00:00,2007-12-31 00:00:00,2008-01-31 00:00:00,2008-02-29 00:00:00,2008-03-31 00:00:00,2008-04-30 00:00:00,2008-05-31 00:00:00,2008-06-30 00:00:00,2008-07-31 00:00:00,2008-08-31 00:00:00,2008-09-30 00:00:00,2008-10-31 00:00:00,2008-11-30 00:00:00,2008-12-31 00:00:00,2009-01-31 00:00:00,2009-02-28 00:00:00,2009-03-31 00:00:00,2009-04-30 00:00:00,2009-05-31 00:00:00,2009-06-30 00:00:00,2009-07-31 00:00:00,2009-08-31 00:00:00,2009-09-30 00:00:00,2009-10-31 00:00:00,2009-11-30 00:00:00,2009-12-31 00:00:00,2010-01-31 00:00:00,2010-02-28 00:00:00,2010-03-31 00:00:00,2010-04-30 00:00:00,2010-05-31 00:00:00,2010-06-30 00:00:00,2010-07-31 00:00:00,2010-08-31 00:00:00,2010-09-30 00:00:00,2010-10-31 00:00:00,2010-11-30 00:00:00,2010-12-31 00:00:00,2011-01-31 00:00:00,2011-02-28 00:00:00,2011-03-31 00:00:00,2011-04-30 00:00:00,2011-05-31 00:00:00,2011-06-30 00:00:00,2011-07-31 00:00:00,2011-08-31 00:00:00,2011-09-30 00:00:00,2011-10-31 00:00:00,2011-11-30 00:00:00,2011-12-31 00:00:00,2012-01-31 00:00:00,2012-02-29 00:00:00,2012-03-31 00:00:00,2012-04-30 00:00:00,2012-05-31 00:00:00,2012-06-30 00:00:00,2012-07-31 00:00:00,2012-08-31 00:00:00,2012-09-30 00:00:00,2012-10-31 00:00:00,2012-11-30 00:00:00,2012-12-31 00:00:00,2013-01-31 00:00:00,2013-02-28 00:00:00,2013-03-31 00:00:00,2013-04-30 00:00:00,2013-05-31 00:00:00,2013-06-30 00:00:00,2013-07-31 00:00:00,2013-08-31 00:00:00,2013-09-30 00:00:00,2013-10-31 00:00:00,2013-11-30 00:00:00,2013-12-31 00:00:00,2014-01-31 00:00:00,2014-02-28 00:00:00,2014-03-31 00:00:00,2014-04-30 00:00:00,2014-05-31 00:00:00,2014-06-30 00:00:00,2014-07-31 00:00:00,2014-08-31 00:00:00,2014-09-30 00:00:00,2014-10-31 00:00:00,2014-11-30 00:00:00,2014-12-31 00:00:00,2015-01-31 00:00:00,2015-02-28 00:00:00,2015-03-31 00:00:00,2015-04-30 00:00:00,2015-05-31 00:00:00,2015-06-30 00:00:00,2015-07-31 00:00:00,2015-08-31 00:00:00,2015-09-30 00:00:00,2015-10-31 00:00:00,2015-11-30 00:00:00,2015-12-31 00:00:00,2016-01-31 00:00:00,2016-02-29 00:00:00,2016-03-31 00:00:00,2016-04-30 00:00:00,2016-05-31 00:00:00,2016-06-30 00:00:00,2016-07-31 00:00:00,2016-08-31 00:00:00,2016-09-30 00:00:00,2016-10-31 00:00:00,2016-11-30 00:00:00,2016-12-31 00:00:00,2017-01-31 00:00:00,2017-02-28 00:00:00,2017-03-31 00:00:00,2017-04-30 00:00:00,2017-05-31 00:00:00,2017-06-30 00:00:00,2017-07-31 00:00:00,2017-08-31 00:00:00,2017-09-30 00:00:00,2017-10-31 00:00:00,2017-11-30 00:00:00,2017-12-31 00:00:00,2018-01-31 00:00:00,2018-02-28 00:00:00,2018-03-31 00:00:00,2018-04-30 00:00:00,2018-05-31 00:00:00,2018-06-30 00:00:00,2018-07-31 00:00:00,2018-08-31 00:00:00,2018-09-30 00:00:00
A,Agilent Technologies Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.04,37.07,32.76,19.33,22.44,31.93,75.54,-67.31,-18.42,-10.18,-8.13,-5.71,-9.41,-4.56,-6.77,-9.4,-10.3,36.37,33.62,28.5,30.93,28.62,26.75,31.69,30.41,34.66,42.25,43.04,42.07,55.94,52.23,44.46,5.09,5.35,5.48,4.94,4.39,3.96,4.3,4.2,4.57,3.93,4.29,3.93,20.13,21.22,21.64,23.74,23.45,23.28,23.74,23.49,23.47,22.92,21.39,19.67,18.66,17.91,18.14,20.74,19.45,19.73,19.5,16.52,12.36,9.72,7.94,9.18,7.66,8.33,9.9,17.34,19.21,21.96,50.38,54.88,48.79,-321.96,-349.62,-315.47,-686.01,-748.3,-788.99,58.37,51.27,50.37,22.51,27.72,28.91,17.73,21.05,21.3,18.37,19.37,21.59,19.34,19.99,16.49,12.64,10.69,12.68,12.87,12.02,14.61,14.44,14.75,13.98,12.8,12.35,12.05,12.7,13.17,12.33,11.57,12.35,13.51,13.06,13.22,13.05,15.58,14.54,15.21,17.13,18.07,17.9,24.48,26.21,26.65,25.64,25.2,24.35,26.63,26.85,26.22,27.17,27.11,26.3,25.96,25.01,23.11,33.29,32.75,32.61,37.38,34.74,36.88,37.81,35.55,39.11,34.56,34.63,30.77,27.08,28.9,29.67,32.7,31.39,34.05,32.13,32.09,29.69,30.88,31.73,34.1,32.56,33.58,34.96,33.38,32.71,33.08,32.92,32.66,34.61,32.6,31.53,34.67,113.02,110.24,107.99,84.12,84.01,88.89,72.3,75.51
AA,Alcoa Inc,3.83,4.08,4.02,4.86,4.34,5.47,5.18,5.43,5.2,6.34,7.26,11.89,31.86,235.53,-61.84,-129.77,82.09,18.84,9.62,7.34,8.18,10.86,16.87,28.94,34.97,-208.69,-151.1,-348.87,-91.67,14.65,15.47,34.43,17.71,19.16,14.26,7.07,6.37,6.15,5.93,6.75,6.57,5.99,6.74,7.66,8.15,18.84,23.55,33.36,48.18,95.87,-5.96,-4.65,-4.91,-4.99,-111.64,210.28,523.97,1325.48,-49.63,-62.57,-97.13,19.71,13.21,11.01,9.25,13.92,12.89,14.88,20.76,22.93,26.44,24.76,16.2,14.39,12.97,15.21,16.2,17.71,26.46,25.37,32.4,24.63,21.24,16.64,20.32,20.99,22.09,18.08,20.94,35.23,38.87,25.19,38.39,38.99,61.06,66.07,77.56,32.17,25.15,21.94,20.52,19.61,21.37,20.22,20.83,19.45,18.76,19.25,18.39,16.76,16.55,18.68,20.15,22.23,20.73,21.61,18.59,17.46,17.81,13.92,13.29,13.03,11.86,12.79,12.32,12.47,12.92,13.11,13.4,15.59,15.31,14.86,14.21,15.21,14.66,13.46,13.53,10.68,11.8,11.45,12.86,15.0,13.17,13.48,12.84,9.02,5.26,4.92,5.15,-84.25,-67.5,-94.26,-10.11,-10.28,-11.52,-6.11,-6.27,-6.82,-5.86,-5.91,-7.61,-10.78,-11.79,-12.62,-16.04,-13.9,-12.01,-43.05,-39.38,-46.67,-47.76,-47.73,-55.94,66.67,70.5,73.89,23.7,23.39,22.07,16.52,14.35,10.73,10.8,10.06,8.69,17.7,17.75,17.48,26.14,22.97,23.51,123.79,125.1,129.49,-37.79,-37.09,-38.28,49.39,47.7,47.7,36.95,36.95,33.99,65.91,63.84,67.32,33.5,34.73,38.41,-5.39,-5.54,-6.07,-6.05,-6.11,-6.69,-8.19,-8.3,-8.05,-8.86,-9.14,-8.35,71.02,67.45,58.92,25.59,23.84,21.26,20.11,19.25,19.68,21.75,22.79,24.04,-78.93,-97.04,-104.1,-48.96,-40.64,-40.64,-45.79,-43.47,-43.73,-3.53,,,,,,,,,,,,,,,,,,,,,,,
AAL,American Airlines Group,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.03,10.03,8.8,8.3,6.45,6.27,6.25,5.91,5.28,5.42,3.23,3.25,3.25,2.72,2.5,2.22,2.84,2.9,2.93,3.71,4.25,4.27,8.57,8.98,7.84,9.56,10.86,11.1,11.92,10.58,11.05,11.52,12.43,12.69,13.46,13.44,12.88,10.72,10.88,9.48,11.14,11.41,11.65
AAL (Alex),Alexander & Alexander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.07,15.3,15.79,17.32,20.35,18.03,18.57,15.88,19.32,19.51,17.79,18.02,19.63,-65.57,151.24,132.55,124.72,-10.81,-11.22,-8.62,-7.39,28.51,76.01,-142.68,-33.79,-7.55,-11.42,-15.9,-28.79,9.12,14.63,12.1,13.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAP,Advance Auto Parts Inc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.59,28.88,23.69,21.91,23.52,22.99,24.84,23.71,23.37,24.56,27.24,25.27,23.94,22.82,27.65,27.55,26.32,25.1,23.79,25.64,24.11,21.03,22.25,19.45,19.74,17.09,21.12,20.86,18.19,17.76,18.43,16.8,18.88,19.92,19.53,22.69,23.28
AAPL,Apple Inc.,,,,,,,,,,,,,24.17,34.56,36.33,15.16,18.88,25.1,35.99,39.66,27.62,13.05,10.55,13.98,22.38,24.86,24.43,14.63,16.51,26.55,32.31,39.86,23.98,17.67,17.38,14.59,12.39,10.55,13.08,14.02,9.72,11.32,10.42,6.22,10.35,16.16,9.75,17.92,21.56,21.51,17.29,10.4,13.28,11.42,9.11,14.96,39.35,-113.09,-24.45,20.32,15.07,9.32,11.02,9.57,9.26,18.19,-4.02,-3.54,-3.19,-2.66,-2.16,-3.23,-1.61,-4.17,-33.19,122.23,17.93,11.84,14.91,17.09,27.52,34.88,23.35,11.51,6.36,18.72,37.22,68.87,-308.11,40.27,30.75,29.57,79.18,268.3,-995.33,-375.55,112.27,71.56,71.9,70.24,93.81,61.24,72.16,67.45,39.68,43.8,40.55,35.1,38.68,44.22,36.21,42.64,45.62,39.96,36.37,33.43,34.71,29.52,28.29,30.92,30.87,35.02,34.77,39.31,36.65,30.37,30.03,32.98,30.95,37.6,37.86,36.54,38.43,42.59,47.4,45.64,49.61,29.21,26.98,30.96,35.26,38.27,33.95,30.6,32.63,21.88,19.77,17.04,15.7,14.57,14.44,17.0,18.45,19.92,20.89,21.4,22.03,24.28,20.62,21.86,23.17,18.61,19.83,22.77,21.97,21.62,21.17,19.21,18.15,21.18,19.7,20.37,21.12,18.79,19.56,19.3,16.56,16.45,15.88,15.33,15.11,14.98,14.51,13.7,14.52,12.9,15.33,16.95,14.14,13.99,14.14,14.27,15.54,15.58,13.4,13.19,11.97,10.25,9.93,9.96,10.48,10.64,9.38,10.89,11.73,11.47,12.7,13.51,13.52,12.06,12.68,12.94,13.48,14.46,14.86,14.85,15.92,15.65,16.03,17.65,16.38,15.35,16.83,16.3,15.08,15.7,15.11,13.63,12.67,12.4,12.48,12.35,10.99,10.04,9.98,11.25,10.13,10.79,10.33,11.75,11.96,12.74,13.25,12.9,13.52,14.31,16.15,16.67,16.38,17.42,16.28,16.48,18.17,16.94,17.92,18.22,17.79,16.84,17.91,16.87,15.32,17.33,17.16,16.42,19.64,19.48
ABBV,AbbVie Inc.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,13.6,12.61,12.22,13.96,13.09,13.74,16.92,16.98,18.51,18.97,19.59,19.87,20.08,20.87,21.68,19.96,21.1,22.05,27.21,29.7,28.09,54.2,54.36,52.54,56.69,58.42,58.94,53.52,49.57,43.22,34.99,33.75,34.38,17.45,17.11,17.96,18.02,18.59,18.99,19.45,18.25,17.96,14.94,16.25,16.74,16.68,16.88,17.42,16.63,16.65,18.31,16.84,18.14,21.44,21.67,23.27,23.16,33.65,34.74,28.38,24.01,24.6,23.04,21.65,22.53,22.21
ABC,AmerisourceBergen Corp.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59.03,52.88,42.89,35.29,26.58,16.84,15.65,19.41,14.52,14.27,13.43,13.91,12.18,13.17,16.04,16.2,15.49,18.49,18.28,19.57,22.19,22.99,23.8,29.91,31.67,32.63,29.3,30.91,32.45,26.48,26.87,25.84,24.71,24.37,24.94,20.34,19.82,18.46,20.44,20.23,20.29,19.21,19.85,19.17,17.88,17.12,16.22,18.09,16.24,16.06,16.62,14.85,14.59,14.3,14.43,13.96,30.2,29.11,26.73,19.78,19.52,22.2,22.23,19.21,19.75,19.6,21.41,20.47,12.18,12.98,13.63,13.08,14.13,14.75,14.29,14.56,15.02,14.99,15.2,15.43,13.53,12.16,13.57,14.28,13.39,14.75,15.29,16.09,16.79,16.4,16.62,16.7,14.98,15.21,14.33,15.55,13.58,13.6,14.27,13.6,14.44,13.59,13.25,14.1,14.29,13.79,13.86,13.8,13.83,14.14,14.43,14.98,16.43,22.43,22.34,23.06,24.63,24.06,25.83,34.78,37.41,37.54,50.79,50.74,49.05,33.88,37.48,37.22,66.88,66.86,66.79,69.31,72.02,71.31,595.35,641.97,710.13,-38.13,-37.56,-35.49,-53.86,-50.14,-47.61,-154.69,-150.38,-158.1,46.79,45.0,49.34,12.68,10.7,11.32,11.15,11.61,10.78,10.84,12.03,12.06,14.28,14.98,14.37,15.55,17.39,17.97,24.04,20.56,21.1,46.02,50.73,55.04,22.24,21.24,19.24,23.28,21.11,21.91,16.43,18.06,18.51
ABC (Bro.),American Broadcasting Cos Inc,6.86,5.62,5.16,6.19,4.96,6.25,6.39,6.3,6.94,6.59,7.05,8.51,10.29,11.46,12.33,11.12,10.78,10.68,10.69,11.38,9.53,15.77,17.07,17.08,19.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ABI,Applied Biosystems Inc.,13.87,12.98,14.67,17.58,20.82,16.93,14.33,11.83,13.53,10.98,10.74,16.14,22.09,22.54,29.68,29.83,26.51,23.12,17.08,15.5,15.42,13.93,13.03,13.39,17.38,17.43,16.08,15.7,16.61,25.27,23.2,-84.87,-70.43,-119.24,-134.75,14.26,14.36,12.72,-64.3,-48.14,-30.84,-21.03,18.96,15.92,16.26,19.87,-64.62,-57.86,-63.24,-91.91,23.66,31.55,29.95,34.68,85.56,57.33,132.45,141.55,29.06,26.07,16.51,20.34,19.54,22.52,23.35,31.4,802.9,178.98,89.41,37.22,28.79,24.61,28.88,63.86,77.71,60.17,87.41,65.31,44.17,32.41,52.43,78.19,52.69,130.94,95.73,26.62,25.51,24.26,42.58,25.47,23.26,22.68,23.81,24.7,31.74,25.32,21.67,18.38,19.26,20.19,21.97,19.0,19.49,18.74,19.24,19.53,17.94,17.34,17.91,19.05,19.4,21.34,20.55,26.48,25.76,24.73,19.58,20.29,22.18,21.62,20.3,21.98,39.32,38.53,38.79,29.33,26.08,25.0,34.06,31.19,33.56,32.19,32.31,35.41,22.72,19.16,19.03,16.99,18.12,17.67,16.76,18.4,17.74,19.66,19.49,18.3,15.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
