Ticker,Company Name,Sector,Year,MarketCap,PE
A,Agilent Technologies Inc.,Health Care,2010,12861.59571,22.56
A,Agilent Technologies Inc.,Health Care,2011,12683.91808,12.52
A,Agilent Technologies Inc.,Health Care,2012,13375.60165,12.08
A,Agilent Technologies Inc.,Health Care,2013,17829.22869,22.86
A,Agilent Technologies Inc.,Health Care,2014,15473.00898,25.76
A,Agilent Technologies Inc.,Health Care,2015,13420.37342,36.10
A,Agilent Technologies Inc.,Health Care,2016,14352.91521,30.77
A,Agilent Technologies Inc.,Health Care,2017,21921.76,32.91
A,Agilent Technologies Inc.,Information Technology,2000,24802.57125,32.76
A,Agilent Technologies Inc.,Information Technology,2001,13143.11,75.54
A,Agilent Technologies Inc.,Information Technology,2004,11732.8681,33.62
A,Agilent Technologies Inc.,Information Technology,2005,17063.32926,50.08
A,Agilent Technologies Inc.,Information Technology,2006,13916.3767,4.26
A,Agilent Technologies Inc.,Information Technology,2007,14171.72523,22.59
A,Agilent Technologies Inc.,Information Technology,2008,6722.598283,10.01
A,Agilent Technologies Inc.,Information Technology,2009,9785.629697,48.79
AA,Alcoa Inc,Materials,1980,2178.46279,4.34
AA,Alcoa Inc,Materials,1981,1908.35854,5.20
AA,Alcoa Inc,Materials,1982,2446.675,31.86
AA,Alcoa Inc,Materials,1983,3632.54232,82.09
AA,Alcoa Inc,Materials,1984,3002.217,8.18
AA,Alcoa Inc,Materials,1985,3132.822,34.97
AA,Alcoa Inc,Materials,1987,4120.40475,17.71
AA,Alcoa Inc,Materials,1988,4943.792,6.37
AA,Alcoa Inc,Materials,1989,6566.1,6.57
AA,Alcoa Inc,Materials,1990,4889.44446,8.15
AA,Alcoa Inc,Materials,1991,5477.57916,48.18
AA,Alcoa Inc,Materials,1993,6130.48618,523.97
AA,Alcoa Inc,Materials,1995,9323.48432,9.25
AA,Alcoa Inc,Materials,1996,10997.5125,20.76
AA,Alcoa Inc,Materials,1997,11843.26488,16.20
AA,Alcoa Inc,Materials,1998,13687.12832,16.20
AA,Alcoa Inc,Materials,1999,30411.781,32.40
AA,Alcoa Inc,Materials,2000,28976.1935,20.32
AA,Alcoa Inc,Materials,2001,30195.56565,20.94
AA,Alcoa Inc,Materials,2002,19232.4706,38.39
AA,Alcoa Inc,Materials,2003,32883.49,77.56
AA,Alcoa Inc,Materials,2004,27350.45018,20.52
AA,Alcoa Inc,Materials,2005,23574.07017,18.46
AA,Alcoa Inc,Materials,2006,26039.013,12.32
AA,Alcoa Inc,Materials,2007,31808.37716,13.88
AA,Alcoa Inc,Materials,2008,8942.208613,5.11
AA,Alcoa Inc,Materials,2011,10440.82224,9.85
AA,Alcoa Inc,Materials,2013,10521.31834,35.55
AA,Alcoa Inc,Materials,2015,12297.74421,22.86
AAL,American Airlines Group,Industrials,2015,27278.40819,5.54
AAL,American Airlines Group,Industrials,2016,23096.28542,4.08
AAL,American Airlines Group,Industrials,2017,23816.49375,12.21
AAL (Alex),Alexander & Alexander,Financials,1988,949.4,14.07
AAL (Alex),Alexander & Alexander,Financials,1989,1237.452,20.35
AAL (Alex),Alexander & Alexander,Financials,1990,939.078,19.32
AAL (Alex),Alexander & Alexander,Financials,1991,836.4,19.63
AAL (Alex),Alexander & Alexander,Financials,1992,1147.45,124.72
AAL (Alex),Alexander & Alexander,Financials,1996,753.52728,13.65
AAP,Advance Auto Parts Inc,Consumer Discretionary,2015,12489.73573,24.83
AAP,Advance Auto Parts Inc,Consumer Discretionary,2016,11757.47085,26.01
AAP,Advance Auto Parts Inc,Consumer Discretionary,2017,6956.987607,19.69
AAPL,Apple Inc.,Information Technology,1982,1722.52224,24.17
AAPL,Apple Inc.,Information Technology,1983,1448.4158,18.88
AAPL,Apple Inc.,Information Technology,1984,1768.89012,27.62
AAPL,Apple Inc.,Information Technology,1985,1370.358,22.38
AAPL,Apple Inc.,Information Technology,1986,2541.4155,16.51
AAPL,Apple Inc.,Information Technology,1987,5215.476,23.98
AAPL,Apple Inc.,Information Technology,1988,4958.35725,12.39
AAPL,Apple Inc.,Information Technology,1989,4413.3705,9.72
AAPL,Apple Inc.,Information Technology,1990,4915.502,10.35
AAPL,Apple Inc.,Information Technology,1991,6680.4662,21.56
AAPL,Apple Inc.,Information Technology,1992,7040.99975,13.28
AAPL,Apple Inc.,Information Technology,1993,3407.47875,39.35
AAPL,Apple Inc.,Information Technology,1994,4675.71,15.07
AAPL,Apple Inc.,Information Technology,1995,3925.00184,9.26
AAPL,Apple Inc.,Information Technology,1998,5540.0008,17.93
AAPL,Apple Inc.,Information Technology,1999,16540.0728,27.52
